;count;priority
0;27788;-4129
1;29995;-6530
2;22902;391
3;31893;-8882
4;23823;-240
5;23399;350
6;28663;-4750
7;25878;-2231
8;28359;-4496
9;26832;-3203
10;26137;-2350
11;23706;209
12;44103;-20254
13;25231;-1448
14;33651;-10246
15;27446;-3611
16;26731;-3012
17;31040;-7495
18;27605;-4110
19;25832;-2253
20;21233;2428
21;24788;-1547
22;25171;-1788
23;28504;-5163
24;28953;-5748
25;23044;447
26;28652;-5215
27;25750;-2313
28;26608;-2973
29;28966;-5351
30;24103;-216
31;28341;-4774
32;25000;-1283
33;29810;-6001
34;29369;-5416
35;29971;-6090
36;29379;-5994
37;26030;-1835
38;26016;-2323
39;24770;-1177
40;23445;354
41;29221;-5602
42;21349;2544
43;30182;-6545
44;27450;-3791
45;26663;-3052
46;25511;-1406
47;25904;-2247
48;23297;130
49;24884;-1369
50;32549;-9132
51;22881;556
52;19404;3823
53;32994;-9363
54;25539;-1936
55;33200;-9687
56;25823;-1898
57;24345;-536
58;32930;-9035
59;31498;-7929
60;19229;4548
61;32681;-9278
62;34702;-10967
63;31011;-7656
64;38575;-15056
65;21711;1630
66;28840;-5201
67;26955;-3448
68;25121;-1214
69;28346;-4485
70;31890;-8073
71;30706;-6999
72;32093;-8256
73;24052;-619
74;33614;-9841
75;33020;-9449
76;33174;-9755
77;19874;3521
78;32231;-8408
79;25038;-1483
80;29641;-5922
81;28746;-5281
82;28606;-4985
83;29801;-6112
84;27931;-4460
85;28780;-5307
86;21880;1825
87;33813;-10056
88;25536;-1749
89;28602;-4803
90;27082;-3569
91;32614;-8969
92;28742;-5319
93;22468;947
94;34752;-10941
95;24543;-1312
96;21709;2042
97;28423;-4716
98;27438;-3691
99;19079;4602
100;20222;3487
101;23898;-5
102;18727;4674
103;25961;-2478
104;23818;-415
105;22137;1532
106;25059;-1378
107;19967;3502
108;20981;2736
109;22603;1410
110;17866;6095
111;19106;4585
112;18834;4353
113;20125;3634
114;19208;4385
115;23149;554
116;21425;2346
117;24083;-292
118;21732;1747
119;25198;-1715
120;18107;5616
121;20830;2499
122;16719;6892
123;15707;8386
124;24667;-772
125;23016;551
126;23231;572
127;22561;1268
128;20136;3271
129;30230;-6531
130;22971;390
131;20981;2644
132;20129;3458
133;25160;-2065
134;19000;4787
135;24155;-684
136;21781;1512
137;23500;249
138;25019;-1472
139;20496;2797
140;17204;6179
141;21643;1974
142;20874;2403
143;21557;1560
144;23169;630
145;22024;1473
146;19686;3703
147;22369;1296
148;17565;6052
149;29079;-5590
150;23728;89
151;21363;2048
152;23930;-363
153;27224;-3657
154;21736;1759
155;26759;-3292
156;21986;1711
157;18560;5087
158;20983;2524
159;21275;2332
160;18597;5268
161;33924;-10271
162;23059;458
163;20642;3067
164;21900;1651
165;19969;3518
166;23999;-54
167;22186;1685
168;28852;-5335
169;27609;-3854
170;19628;3911
171;16098;7087
172;22001;1686
173;25151;-1662
174;20172;3563
175;31796;-8493
176;23467;102
177;22103;1634
178;25008;-901
179;23709;-24
180;27520;-4001
181;19300;4327
182;25631;-1512
183;22631;1092
184;26135;-2882
185;27349;-3698
186;22227;1376
187;18203;5176
188;27320;-3763
189;25310;-1827
190;18735;4844
191;20675;3040
192;26035;-2532
193;19024;4303
194;26985;-3334
195;19410;3949
196;30528;-6913
197;22183;1662
198;22130;1221
